,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2016_pov_children,13.7,13.0,17.7,22.3,25.5,18.3,17.3,27.9,14.1,16.4,27.5,13.1,14.1,26.3,34.5,25.6,13.3,20.7,6.8,11.1
2016_pov_children_error,6.6,4.9,6.6,3.5,7.9,3.8,3.3,7.6,5.7,4.8,9.0,5.6,3.7,9.9,2.9,7.3,3.0,6.9,2.3,4.4
2016_pov_adult,13.6,10.9,13.6,13.6,16.7,12.3,15.8,19.1,9.0,12.9,20.5,6.9,10.0,14.8,17.5,16.3,9.0,15.1,5.8,7.1
2016_pov_adult_error,3.3,2.4,2.9,1.2,4.1,1.8,1.5,3.9,2.4,2.6,3.7,2.3,1.7,3.0,1.3,3.2,1.6,2.4,1.6,1.8
2016_pov_no_hs,29.9,21.5,27.2,27.1,29.7,35.2,23.7,32.9,21.7,38.1,26.8,16.7,15.1,14.3,33.9,25.6,21.2,18.0,27.3,19.6
2016_pov_no_hs_error,10.8,7.8,8.3,3.5,10.3,5.9,4.9,8.6,10.3,11.6,8.7,6.6,7.4,6.6,3.2,7.0,6.1,7.2,14.2,8.8
2016_pov_bach,6.9,3.0,4.0,6.1,3.5,3.8,3.8,5.2,3.6,6.3,4.7,2.4,3.5,5.7,5.4,0.8,1.1,3.8,2.3,3.2
2016_pov_bach_error,4.1,2.0,2.3,1.1,3.3,1.6,0.9,2.8,2.5,2.8,2.8,2.0,1.4,3.2,1.0,0.7,0.7,1.8,1.0,2.0
2016_pov_employed,8.3,6.8,6.9,6.7,8.0,5.2,8.5,6.2,3.3,7.8,15.2,2.6,6.9,8.3,8.5,7.8,4.3,9.5,3.2,2.9
2016_pov_employed_error,3.3,2.0,2.1,0.9,3.2,1.2,1.1,2.1,1.6,2.2,3.8,1.2,1.4,2.9,0.8,1.9,1.2,2.2,1.2,0.9
2016_pov_no_work,19.3,13.9,18.4,27.8,23.3,22.3,22.6,31.6,16.3,23.2,24.7,13.4,14.1,20.4,29.1,21.1,16.3,19.3,10.2,14.2
2016_pov_no_work_error,4.9,3.8,4.9,2.4,5.4,2.9,2.4,6.4,4.0,4.1,4.6,4.8,2.9,5.3,2.1,4.1,3.3,3.8,3.2,4.1
