,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2017_pov_children,21.8,20.6,23.9,23.7,27.4,16.4,17.8,24.2,8.2,16.6,34.4,22.6,14.5,15.1,30.2,26.2,8.6,17.5,2.8,13.5
2017_pov_children_error,8.4,7.2,7.4,3.7,12.3,3.7,2.7,8.5,5.5,4.2,13.2,8.8,3.9,6.5,2.8,5.8,3.9,6.3,1.4,4.5
2017_pov_adult,16.0,11.2,18.4,12.8,19.5,12.2,13.9,17.4,8.7,12.9,21.8,11.8,9.4,12.7,15.9,15.1,7.8,16.4,3.7,7.9
2017_pov_adult_error,3.9,2.6,3.4,1.2,4.6,1.5,1.5,3.4,2.9,1.9,4.3,3.4,1.8,3.3,1.3,2.3,1.8,2.9,1.1,2.2
2017_pov_no_hs,35.9,27.2,35.7,28.3,30.9,26.9,29.2,22.7,21.0,25.5,25.4,26.4,30.5,16.1,33.5,32.6,19.7,28.6,4.4,19.6
2017_pov_no_hs_error,13.4,8.8,9.7,4.3,11.0,6.2,5.0,9.7,10.3,8.0,9.1,10.5,9.4,10.0,3.5,6.3,6.7,10.3,4.7,9.2
2017_pov_bach,3.3,3.4,2.7,5.5,7.6,3.6,4.4,1.3,4.2,5.3,1.6,1.1,3.2,6.0,4.1,3.2,4.5,4.8,1.7,4.1
2017_pov_bach_error,3.0,1.9,1.8,1.1,7.1,1.1,1.2,1.3,3.1,1.9,1.7,1.4,1.5,4.4,0.9,1.4,2.2,2.8,0.9,2.2
2017_pov_employed,6.5,5.9,7.8,7.0,9.9,5.7,7.3,8.3,4.3,7.8,12.4,6.5,5.9,8.8,6.9,5.4,4.8,9.0,2.1,3.9
2017_pov_employed_error,2.7,2.0,2.1,0.9,4.2,1.1,1.1,2.6,2.1,1.8,3.7,2.9,1.5,2.4,0.9,1.3,1.3,2.6,0.8,1.3
2017_pov_no_work,21.9,16.0,30.8,24.3,24.7,18.8,23.4,25.9,17.4,22.8,25.6,18.4,17.6,13.0,28.5,19.6,14.7,20.7,5.9,14.5
2017_pov_no_work_error,5.5,3.2,4.8,2.7,5.3,2.2,3.0,5.2,5.1,3.4,5.3,4.8,3.8,4.9,2.1,2.8,3.9,4.1,2.2,3.9
