,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2022_median_household_income,67746,69756,63659,72473,48918,76219,69999,55666,68157,67264,54373,79171,76857,59315,61516,53585,88764,64899,129275,87003
2022_median_income_error,9389,4643,5619,2059,6418,3846,2549,5382,6509,3319,4493,7719,3189,5447,1977,3521,7014,3507,7717,6567
2022_mean_household_income,82246,91775,80138,106423,62860,104450,97387,78630,84572,81741,70930,89642,92198,77051,90039,74476,107927,92486,175034,104647
2022_mean_income_error,6431,7347,6492,4172,7783,3940,3927,5830,5530,4477,6461,6384,3228,6492,3043,4870,6111,9688,8178,5990
