,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2017_median_household_income,48109,50675,48857,58490,37920,51302,55266,45013,57258,58381,39647,60474,68514,49963,49647,44909,65014,40697,105622,69959
2017_median_income_error,5663,2864,5506,2466,6194,3226,1750,4711,5141,3502,5488,4325,3017,3674,1745,3388,2775,3322,7697,4384
2017_mean_household_income,69687,72103,62902,82600,51332,76230,79379,63174,73586,74219,56471,76340,84383,61472,74498,66605,88519,64451,139874,84880
2017_mean_income_error,8264,8018,3975,2562,4195,3656,2839,5702,8797,4953,5299,6231,3922,6856,2359,4962,6569,4787,6302,4513
