,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2022_pov_children,10.7,9.4,18.1,22.1,28.1,17.1,10.5,15.2,15.9,16.0,30.9,10.5,11.2,15.1,23.7,27.8,5.1,18.2,3.4,9.2
2022_pov_children_error,5.2,3.6,7.2,4.1,12.3,4.4,3.0,7.4,8.8,4.5,9.6,6.9,3.2,5.2,2.9,8.8,2.4,7.4,1.9,4.1
2022_pov_adult,14.1,8.2,12.5,12.2,18.0,10.2,11.7,14.2,8.6,10.4,19.6,6.6,9.1,11.0,14.5,13.7,5.7,13.6,3.8,6.6
2022_pov_adult_error,3.7,1.9,3.3,1.2,3.9,1.7,1.5,3.9,2.6,1.9,4.4,2.5,1.6,2.6,1.3,2.7,1.6,2.7,1.2,2.0
2022_pov_no_hs,48.4,19.2,22.8,24.0,25.4,26.9,24.7,25.9,30.1,22.9,48.0,23.1,13.6,22.3,32.5,33.1,19.8,39.8,7.3,19.8
2022_pov_no_hs_error,15.9,10.2,10.3,5.1,12.2,6.4,5.4,9.3,15.2,11.4,14.1,10.0,5.0,8.7,4.8,7.7,9.1,12.0,5.7,8.9
2022_pov_bach,3.0,3.6,4.8,5.1,7.0,4.7,3.6,1.6,2.8,6.3,7.0,1.0,2.7,6.7,4.1,1.8,1.6,4.1,1.5,1.6
2022_pov_bach_error,2.0,1.8,3.1,1.0,5.3,1.2,1.0,1.3,2.4,2.3,4.8,1.2,1.1,3.9,0.8,1.1,1.1,2.0,0.7,1.0
2022_pov_employed,6.1,3.7,7.7,6.6,8.7,4.9,5.5,7.6,4.3,6.9,11.8,4.3,5.8,6.3,6.6,6.1,2.4,9.5,2.3,2.6
2022_pov_employed_error,2.5,1.4,2.9,0.9,2.9,1.1,0.9,3.1,2.2,1.8,3.8,2.2,1.3,1.7,0.9,1.9,0.9,2.2,1.0,0.9
2022_pov_no_work,21.4,16.0,16.0,26.3,24.4,18.3,21.1,20.3,16.4,19.3,32.4,10.3,16.1,16.6,27.5,20.3,16.3,18.2,7.0,15.7
2022_pov_no_work_error,5.5,3.4,3.9,2.7,6.8,2.5,3.0,5.0,5.3,4.3,6.8,4.5,2.9,4.6,2.2,3.1,4.0,4.1,2.4,4.7
