,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2019_median_household_income,49044,59276,52468,63938,44722,57502,60283,49820,66781,56948,49282,66939,69397,57741,52614,51860,68743,51428,115507,80071
2019_median_income_error,5511,4526,5149,2439,5473,2831,2427,3970,2585,4433,4756,6714,3316,5866,2477,4362,3889,5236,7624,6534
2019_mean_household_income,65367,75208,66632,92592,60317,82222,83334,61377,80635,71883,63818,83276,85374,71579,80016,69377,94687,73919,155149,99956
2019_mean_income_error,6155,4080,4372,3086,6299,3442,2819,3977,5116,3579,5225,8631,3853,7930,2576,4963,7831,5905,7911,6046
