,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2021_pov_children,17.8,12.5,10.3,22.4,8.5,17.0,11.4,26.7,20.2,14.1,15.4,11.4,10.5,19.4,24.1,30.1,8.9,19.7,3.5,6.8
2021_pov_children_error,7.7,5.5,4.6,3.1,6.7,4.1,3.0,6.4,8.9,5.6,8.7,5.3,3.7,8.3,3.6,6.8,3.3,7.0,1.9,3.4
2021_pov_adult,15.3,8.6,9.6,13.8,9.7,11.7,13.3,15.4,8.2,10.3,10.8,10.5,8.3,15.7,16.1,16.9,8.0,15.1,3.6,8.5
2021_pov_adult_error,3.3,2.1,3.1,1.1,3.0,1.8,1.4,3.0,2.4,2.3,2.9,3.3,1.7,4.0,1.4,2.7,1.9,2.5,1.0,2.7
2021_pov_no_hs,27.9,20.1,15.8,30.9,24.4,26.1,25.4,35.6,20.6,16.3,13.1,21.4,13.9,27.6,31.4,27.7,19.2,33.2,11.8,20.5
2021_pov_no_hs_error,14.6,7.4,7.6,6.2,9.0,6.0,3.9,12.1,12.0,7.4,6.8,11.4,5.6,12.9,4.0,7.8,6.8,12.0,9.1,10.0
2021_pov_bach,5.6,3.9,3.4,6.0,1.3,3.2,4.1,6.9,1.7,5.1,5.9,12.4,3.1,2.9,4.9,6.1,2.1,3.4,1.9,3.3
2021_pov_bach_error,4.4,2.4,2.5,1.0,1.6,1.2,0.9,3.8,2.4,2.4,4.6,9.5,1.4,2.1,1.0,2.4,1.2,1.5,0.8,1.8
2021_pov_employed,6.9,4.9,3.4,6.9,3.3,5.5,5.3,7.4,3.6,5.9,7.0,4.2,5.2,7.7,7.4,6.4,4.2,8.3,1.5,3.2
2021_pov_employed_error,2.8,1.8,1.6,0.9,1.7,1.2,0.8,2.4,1.6,1.8,2.6,2.0,1.4,2.5,0.8,1.9,1.3,1.9,0.6,1.3
2021_pov_no_work,24.9,12.7,15.9,27.7,16.5,20.9,23.5,24.8,14.4,17.8,22.6,20.6,12.6,20.9,30.6,23.7,15.1,20.5,8.8,17.0
2021_pov_no_work_error,5.5,2.9,4.9,3.0,4.8,2.8,2.1,4.9,4.6,4.3,6.9,7.9,3.5,6.9,2.4,4.0,3.7,4.0,2.6,5.7
