,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2021_median_household_income,60364,62102,56139,65348,56488,66096,64894,53720,68840,63331,52278,65139,78201,50239,54841,48063,70092,56009,117927,80960
2021_median_income_error,9111,4678,6663,2957,4232,3581,2367,3203,10348,3418,6605,9101,3562,4888,2034,4061,4000,5081,9101,7246
2021_mean_household_income,75147,82281,75661,99415,73551,93224,88924,74113,97122,78121,71272,83770,94724,72069,84590,75064,91790,83489,160511,99591
2021_mean_income_error,6027,6055,7140,4200,8708,5397,3298,7394,12373,4909,5526,9341,4941,7700,3098,6272,5370,9335,8882,6914
