,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2015_pov_children,40.8,20.0,26.8,27.5,20.4,21.9,20.7,30.6,16.3,17.3,22.0,20.4,12.5,18.2,32.4,25.0,11.4,22.9,5.3,7.1
2015_pov_children_error,10.2,6.7,8.8,3.8,7.6,3.8,3.4,8.0,6.0,4.2,6.8,7.5,3.9,7.1,2.8,5.3,4.2,7.1,2.6,4.0
2015_pov_adult,19.0,12.3,20.1,14.7,18.4,13.8,15.9,14.8,12.1,12.5,23.0,10.5,11.2,13.5,16.8,15.3,9.6,18.0,4.1,7.1
2015_pov_adult_error,3.9,2.8,4.2,1.2,4.1,1.7,1.4,3.2,2.9,2.1,4.3,3.0,1.9,3.2,1.2,2.4,1.9,2.7,1.3,3.0
2015_pov_no_hs,41.3,26.7,29.5,32.8,32.9,28.4,33.1,24.6,32.3,23.0,24.0,16.0,23.3,26.6,32.1,32.6,16.6,23.4,15.9,16.9
2015_pov_no_hs_error,9.1,11.8,7.9,4.0,11.0,5.3,5.2,9.8,13.4,10.1,7.7,9.5,8.1,8.4,4.3,7.5,5.8,7.1,6.9,7.0
2015_pov_bach,1.0,4.4,7.3,4.0,6.3,5.0,4.7,3.2,3.7,5.1,3.3,9.2,3.8,6.5,3.6,1.3,2.4,6.0,2.1,2.3
2015_pov_bach_error,1.0,4.3,4.1,0.9,3.7,1.5,1.1,3.6,2.9,2.8,3.0,7.7,1.5,4.2,0.8,0.7,1.5,2.6,1.0,1.9
2015_pov_employed,9.1,5.0,7.5,8.0,9.0,7.5,8.8,9.0,6.2,8.0,8.9,7.8,7.5,8.1,8.9,7.3,4.1,8.3,2.0,1.5
2015_pov_employed_error,2.9,1.6,2.4,1.0,3.5,1.2,1.3,2.7,1.9,1.9,3.4,2.3,1.7,2.8,0.8,1.5,1.1,2.2,0.9,0.8
2015_pov_no_work,27.1,17.8,28.2,27.8,25.4,20.5,23.2,21.2,23.4,20.4,33.2,17.5,16.6,20.3,27.1,20.2,19.0,24.9,9.9,16.4
2015_pov_no_work_error,5.2,4.7,5.4,2.4,5.4,2.9,2.4,4.1,6.2,3.9,6.3,6.5,3.0,4.7,1.9,3.6,4.0,4.1,2.7,6.7
