,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2016_median_household_income,46055,51183,44853,54855,41109,47898,52102,41791,50591,56112,37437,60423,61157,45609,47690,42859,60503,46276,106054,71153
2016_median_income_error,5106,2059,3202,2291,2427,2625,1867,2879,2647,3259,5732,5914,1718,2290,1986,2576,3522,2735,5194,2996
2016_mean_household_income,61601,66674,59809,78234,60485,71471,72285,58283,64296,65397,56080,74977,75267,56756,70860,58135,78533,62660,137681,84232
2016_mean_income_error,4376,3980,4639,2429,8852,3462,2221,4092,4831,3174,5108,8166,2771,4632,2067,3055,4656,4283,6693,4197
